Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
,Dabble,,39.99,Fixed,,1,,,6972136453507,,,,,
,Air,,49.99,Fixed,,1,,,6972136455129,,,,,
,Dabble Water Pipe,,39.99,Fixed,,1,,,6972136453477,,,,,
,"Kit ""X""",,29.99,Fixed,,1,,,766129862010,,,,,
,"Kit ""Screw""",,29.99,Fixed,,1,,,766129862119,,,,,
,Regular Alien Dispo,,26.99,Fixed,,1,,,616050301099,,,,,
,Dark Blue,,9.99,Fixed,,1,,,047995856038,,,,,
,Yellow,,9.99,Fixed,,1,,,047995855093,,,,,
,Blue,,9.99,Fixed,,1,,,047995855086,,,,,
,Black,,9.99,Fixed,,1,,,047995855079,,,,,
,Organic Roll,,16.99,Fixed,,1,,,047995000820,,,,,
,Natural Roll,,16.99,Fixed,,1,,,047995000806,,,,,
,Green,,10.49,Fixed,,1,,,047995855055,,,,,
,Turquoise,,10.49,Fixed,,1,,,047995855246,,,,,
,Celdon,,9.99,Fixed,,1,,,047995855215,,,,,
,Orange,,9.99,Fixed,,1,,,047995855239,,,,,
,Black Roll,,16.99,Fixed,,1,,,047995000844,,,,,
,Regular American Spirit Dark Green,,9.75,Fixed,,1,,,047995855222,,,,,
,Regular Arizona Safe,,30.00,Fixed,,1,,,613008745905,,,,,
,Blazy Susan Deluxe Ashtray,,12.99,Fixed,,1,,,051497221751,,,,,
,Eyce Ashtray Pink,,29.99,Fixed,,1,,,850016348005,,,,,
,Eyce Ashtray Black,,29.99,Fixed,,1,,,850016348036,,,,,
,Pulsar Ashtray,,29.99,Fixed,,1,,,00810008091029,,,,,
,Small Glass Ashtray,,25.99,Fixed,,1,,,800456,,,,,
,Collection Edition Ashtray,,29.99,Fixed,,1,,,800455,,,,,
,Luminous Butt Bucket,,12.99,Fixed,,1,,,163054300462,,,,,
,Syndicate Space Xhale,,9.99,Fixed,,1,,,810033156953,,,,,
,Syndicate T=HC Classic,,9.99,Fixed,,1,,,810033152979,,,,,
,Eagle Portable,,4.99,Fixed,,1,,,853195000429,,,,,
,Regular Avocado’s,,25.00,Fixed,,1,,,638054825111,,,,,
,Regular Aws 600,,14.99,Fixed,,1,,,814859012301,,,,,
,Grenadiers,,9.99,Fixed,,1,,,071610757486,,,,,
,Russian Cream 5 Cigars,,5.99,Fixed,,1,,,071610302792,,,,,
,Banana 5 Cigars,,5.99,Fixed,,1,,,071610203099,,,,,
,Black Russian 5 Cigars,,5.99,Fixed,,1,,,071610202658,,,,,
,Dark Leave 5 Cigars,,5.99,Fixed,,1,,,071610202818,,,,,
